longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.46,38.52,29.0,3873.0,797.0,2237.0,706.0,2.1736,80228.0,INLAND
-117.23,33.09,7.0,5320.0,855.0,2015.0,768.0,6.3373,362445.08,NEAR OCEAN
-119.04,35.37,44.0,1618.0,310.0,667.0,300.0,2.875,78901.0,INLAND
-117.13,32.75,24.0,1877.0,519.0,898.0,483.0,2.2264,166452.03,NEAR OCEAN
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,206343.0,<1H OCEAN
-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,178208.01,NEAR BAY
-122.03,37.33,23.0,4221.0,671.0,1782.0,641.0,7.4863,391048.05,<1H OCEAN
-118.31,34.2,36.0,1692.0,263.0,778.0,278.0,5.0865,280129.0,<1H OCEAN
-121.95,37.27,17.0,1330.0,271.0,408.0,258.0,1.7171,206590.02,<1H OCEAN
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,201159.0,<1H OCEAN
-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,111847.0,INLAND
-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,153290.0,<1H OCEAN
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,261074.0,INLAND
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,82181.0,INLAND
-117.22,32.83,31.0,2558.0,512.0,1164.0,492.0,3.4318,282246.12,NEAR OCEAN
-121.88,37.37,14.0,6016.0,1404.0,3258.0,1316.0,3.5745,217290.0,<1H OCEAN
-118.08,33.93,39.0,1478.0,324.0,1127.0,320.0,3.525,165736.0,<1H OCEAN
-117.91,33.65,17.0,1328.0,377.0,762.0,344.0,2.2222,211962.04,<1H OCEAN
-122.53,37.9,44.0,2846.0,551.0,1232.0,537.0,3.8839,313269.06,NEAR BAY
-117.86,33.79,42.0,1024.0,191.0,483.0,187.0,4.105,191878.02,<1H OCEAN
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,131521.0,INLAND
-122.28,37.91,48.0,2083.0,298.0,685.0,286.0,7.3089,378214.15,NEAR BAY
-121.23,38.79,45.0,907.0,176.0,463.0,190.0,2.2292,83375.0,INLAND
-117.94,34.1,31.0,1239.0,254.0,929.0,244.0,3.3625,186022.0,<1H OCEAN
-120.96,39.12,24.0,2069.0,436.0,909.0,374.0,2.5326,111949.0,INLAND
-117.35,33.98,31.0,4163.0,1242.0,3928.0,1076.0,1.6943,81965.0,INLAND
-119.03,34.24,25.0,3655.0,545.0,1776.0,544.0,5.687,265537.01,<1H OCEAN
-117.0,32.77,30.0,1802.0,401.0,776.0,386.0,2.8125,149518.01,<1H OCEAN
-120.84,35.31,23.0,3100.0,603.0,1515.0,609.0,2.8493,212066.01,NEAR OCEAN
-118.33,34.08,50.0,2989.0,832.0,1345.0,775.0,3.2426,319326.07,<1H OCEAN
-118.05,33.81,26.0,2523.0,437.0,1377.0,450.0,5.2542,248416.01,<1H OCEAN
-117.94,34.08,32.0,2704.0,514.0,1669.0,497.0,4.4653,189723.0,<1H OCEAN
-118.8,34.27,12.0,3330.0,600.0,1577.0,584.0,4.6985,232891.01,<1H OCEAN
-122.0,37.27,33.0,1664.0,271.0,759.0,272.0,5.7876,307483.01,<1H OCEAN
-121.89,37.3,47.0,2355.0,426.0,961.0,428.0,5.3955,325767.05,<1H OCEAN
-117.22,32.74,52.0,1260.0,202.0,555.0,209.0,7.2758,440856.47,NEAR OCEAN
-121.49,38.59,20.0,463.0,180.0,486.0,190.0,1.0313,81222.0,INLAND
-118.39,34.02,38.0,2447.0,636.0,1312.0,574.0,3.5909,291014.07,<1H OCEAN
-119.56,36.53,19.0,2746.0,495.0,1670.0,518.0,3.2019,87117.0,INLAND
-118.02,34.09,32.0,1747.0,399.0,1199.0,402.0,3.4286,179899.0,INLAND
-118.59,34.21,34.0,2389.0,521.0,1560.0,514.0,4.8333,240228.01,<1H OCEAN
-116.8,33.52,3.0,830.0,145.0,272.0,104.0,3.8281,209130.99,INLAND
-118.19,33.85,45.0,1167.0,302.0,773.0,287.0,3.2798,206882.0,NEAR OCEAN
-117.18,32.8,10.0,3821.0,631.0,1605.0,609.0,5.5454,254571.0,NEAR OCEAN
-117.86,33.71,36.0,191.0,42.0,208.0,37.0,3.375,205096.02,<1H OCEAN
-118.08,33.97,38.0,1026.0,190.0,789.0,193.0,4.2,171863.0,<1H OCEAN
-117.36,34.0,19.0,4592.0,895.0,2769.0,838.0,3.3622,131717.0,INLAND
-121.78,37.97,4.0,17032.0,2546.0,7653.0,2359.0,5.5601,236464.0,INLAND
-121.27,38.13,40.0,2402.0,509.0,1197.0,486.0,2.1771,84902.0,INLAND
-118.67,34.28,21.0,4059.0,598.0,2133.0,634.0,5.6949,261057.0,<1H OCEAN
-121.83,37.37,43.0,1461.0,284.0,800.0,258.0,3.2279,206588.0,<1H OCEAN
-122.53,37.92,45.0,1530.0,324.0,608.0,328.0,3.875,289904.01,NEAR BAY
-117.91,33.73,26.0,2413.0,512.0,2867.0,509.0,4.7639,210825.0,<1H OCEAN
-119.79,36.75,33.0,3161.0,934.0,3530.0,846.0,1.123,73295.0,INLAND
-117.9,33.64,28.0,2466.0,507.0,1081.0,465.0,3.9375,279181.08,<1H OCEAN
-121.01,37.66,36.0,3679.0,613.0,1366.0,581.0,4.5,199572.0,INLAND
-122.38,40.61,14.0,4773.0,1133.0,2101.0,1072.0,1.7227,90762.0,INLAND
-122.17,37.73,52.0,1555.0,289.0,620.0,292.0,3.7159,221814.02,NEAR BAY
-117.27,34.39,6.0,6988.0,1121.0,3660.0,1092.0,4.2224,137859.99,INLAND
-117.06,32.57,25.0,1268.0,282.0,991.0,299.0,3.0284,147053.0,NEAR OCEAN
-117.9,34.07,36.0,1009.0,164.0,466.0,149.0,5.8519,262637.02,<1H OCEAN
-120.48,35.05,24.0,2314.0,468.0,1549.0,463.0,2.8203,168727.03,<1H OCEAN
-121.17,38.71,15.0,3084.0,557.0,1040.0,562.0,2.5183,121226.0,INLAND
-117.17,32.73,52.0,408.0,143.0,313.0,143.0,1.815,166284.01,NEAR OCEAN
-120.67,37.97,9.0,7450.0,1475.0,2233.0,930.0,2.6528,123296.0,INLAND
-122.31,37.93,36.0,1526.0,256.0,696.0,263.0,3.5089,178097.0,NEAR BAY
-118.08,33.77,26.0,2461.0,562.0,971.0,544.0,2.1944,179619.01,<1H OCEAN
-117.08,32.74,33.0,3260.0,673.0,1784.0,666.0,3.5078,148563.0,NEAR OCEAN
-120.65,35.41,15.0,6725.0,1111.0,3139.0,1029.0,4.1875,203276.0,<1H OCEAN
-118.14,33.9,26.0,2145.0,471.0,1150.0,429.0,3.5972,200529.0,<1H OCEAN
-122.62,38.25,24.0,2388.0,358.0,1187.0,362.0,4.6534,241679.01,<1H OCEAN
-121.46,38.58,40.0,1394.0,397.0,689.0,353.0,1.7765,70031.0,INLAND
-120.97,37.69,14.0,5514.0,909.0,2819.0,970.0,3.8598,149326.0,INLAND
-118.09,33.84,27.0,1594.0,295.0,1061.0,320.0,4.7917,194442.0,<1H OCEAN
-118.48,34.31,31.0,1091.0,256.0,892.0,238.0,3.0,178249.0,<1H OCEAN
-118.68,34.33,45.0,121.0,25.0,67.0,27.0,2.9821,172165.0,<1H OCEAN
-119.79,36.81,33.0,1461.0,261.0,494.0,254.0,4.25,126832.97,INLAND
-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,203419.0,<1H OCEAN
-118.42,34.24,17.0,2049.0,548.0,2243.0,541.0,2.525,174692.0,<1H OCEAN
-118.36,33.97,19.0,4651.0,1281.0,2917.0,1121.0,2.6823,183099.0,<1H OCEAN
-119.04,35.32,20.0,37.0,11.0,34.0,8.0,1.2,97147.0,INLAND
-118.02,34.15,44.0,2267.0,426.0,980.0,372.0,3.6,216474.0,INLAND
-117.21,33.2,22.0,3337.0,518.0,1288.0,466.0,5.04,250194.04,<1H OCEAN
-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,378672.14,<1H OCEAN
-119.79,36.31,25.0,4984.0,1029.0,2414.0,961.0,2.2937,80125.0,INLAND
-118.17,34.05,35.0,1256.0,294.0,2990.0,302.0,3.1528,154278.0,<1H OCEAN
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,191765.01,NEAR BAY
-118.22,33.98,36.0,1514.0,453.0,1496.0,448.0,2.1044,131189.0,<1H OCEAN
-120.72,38.57,8.0,892.0,185.0,427.0,164.0,2.6833,129647.0,INLAND
-121.66,37.93,19.0,2055.0,358.0,1064.0,350.0,4.7426,169627.0,INLAND
-118.42,34.01,29.0,1996.0,489.0,960.0,449.0,3.6611,329493.09,<1H OCEAN
-117.78,33.68,19.0,2500.0,331.0,1027.0,327.0,6.115,260127.0,<1H OCEAN
-118.42,34.32,30.0,3027.0,604.0,1970.0,590.0,4.3409,199842.0,<1H OCEAN
-117.09,32.66,46.0,844.0,147.0,423.0,161.0,3.375,140754.0,NEAR OCEAN
-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,390798.22,NEAR BAY
-117.65,34.06,41.0,1171.0,334.0,1479.0,334.0,2.25,98727.0,INLAND
-121.98,37.35,36.0,1054.0,193.0,546.0,187.0,4.5625,248814.0,<1H OCEAN
-117.27,32.82,42.0,2820.0,488.0,1175.0,500.0,4.5083,380408.26,NEAR OCEAN
-119.19,34.17,35.0,4276.0,767.0,3295.0,708.0,4.2583,284346.03,NEAR OCEAN
